Designator,Mid X,Mid Y,Rotation,Layer
D1,108.600002,-74.044316,0.0,top
D10,184.744164,-60.775684,180.0,top
D11,165.689998,-60.775684,180.0,top
D12,146.635831,-60.775684,180.0,top
D13,127.581664,-60.775684,180.0,top
D14,108.527497,-60.775684,180.0,top
D2,127.666669,-74.044316,0.0,top
D3,146.733335,-74.044316,0.0,top
D4,165.800002,-74.044316,0.0,top
D5,184.866669,-74.044316,0.0,top
D6,203.933335,-74.044316,0.0,top
D7,223.000002,-74.044316,0.0,top
D8,222.852498,-60.775684,180.0,top
D9,203.798331,-60.775684,180.0,top
MT1,89.65,-69.87,0.0,top
SW1,108.67,-69.61,0.0,bottom
SW2,127.718333,-69.61,0.0,bottom
SW3,146.766667,-69.61,0.0,bottom
SW4,165.815,-69.61,0.0,bottom
SW5,184.863333,-69.61,0.0,bottom
SW6,203.911667,-69.61,0.0,bottom
SW7,222.96,-69.61,0.0,bottom
U1,89.58,-68.12,0.0,bottom
